Energy,TCS,Error
1.00,35.74,0.94
1.25,30.92,0.59
1.50,27.89,0.82
1.75,25.28,0.40
2.00,23.42,0.64
2.50,20.56,0.46
3.00,18.80,0.39
3.50,17.87,0.29
4.00,16.42,0.46
4.25,15.90,0.25
4.50,15.97,0.31
4.75,15.93,0.45
5.00,15.71,0.40
5.50,16.27,0.39
6.00,16.70,0.33
6.50,16.82,0.30
7.00,16.96,0.44
8.00,16.91,0.31
9.00,17.20,0.42
10.00,17.53,0.12
12.50,17.63,0.46
15.00,17.54,0.27
17.50,17.37,0.27
20.00,17.40,0.11
25.00,17.11,0.42
30.00,17.51,0.31
35.00,16.93,0.69
40.00,17.43,0.27
45.00,16.61,0.57
50.00,16.08,0.08
60.00,15.92,0.29
70.00,15.09,0.54
